,Geldgeber,Kategorie,Betrag,Empfänger,Jahr,Ort,Bundesland,Branche,Schlagworte
"Parteispende:VCI Verband der Chemischen Industrie e.V.-FDP-2013","Verband der Chemischen Industrie","juristische Person","€ 74500,00",FDP,2013,"Frankfurt am Main",,,
"Parteispende:VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.-FDP-2013","VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.","juristische Person","€ 150000,00",FDP,2013,München,,,
"Parteispende:Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.-FDP-2013","Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.","juristische Person","€ 80000,00",FDP,2013,Stuttgart,,,
"Parteispende:Sixt GmbH & Co. Autovermietung KG-FDP-2013","Sixt GmbH & Co. Autovermietung KG","juristische Person","€ 55000,00",FDP,2013,"Pullach im Isartal",,,
"Parteispende:Robert Bosch GmbH-FDP-2013","Robert Bosch GmbH","juristische Person","€ 50000,00",FDP,2013,Gerlingen,,,
"Parteispende:R&W Industriebeteiligungen GmbH-FDP-2013","R&W Industriebeteiligungen","juristische Person","€ 200000,00",FDP,2013,Köln,,,
"Parteispende:METALL NRW – Verband der Metall- und Elektroindustrie Nordrhein-Westfalen e.V.-FDP-2013","METALL NRW – Verband der Metall- und Elektroindustrie Nordrhein-Westfalen e.V.","juristische Person","€ 60000,00",FDP,2013,Düsseldorf,,,
"Parteispende:Märkischer Arbeitgeberverband e.V.-FDP-2013","Märkischer Arbeitgeberverband e.V.","juristische Person","€ 53000,00",FDP,2013,Iserlohn,,,
"Parteispende:Hermes Arzneimittel GmbH-FDP-2013","Hermes Arzneimittel GmbH","juristische Person","€ 50000,00",FDP,2013,"Pullach im Isartal",,,
"Parteispende:Evonik Industries AG-FDP-2013","Evonik Industries AG","juristische Person","€ 50000,00",FDP,2013,Essen,,,
"Parteispende:Deutsche Vermögensberatung AG DVAG-FDP-2013","Deutsche Vermögensberatung AG DVAG","juristische Person","€ 63000,00",FDP,2013,"Frankfurt am Main",,,
